strain,type,thc,cbd,flavour 1,flavour 2,flavour 3,flavour 4,effect 1,effect 2,effect 3,effect 4,grow_type,growing_time
Super Silver,indica,0.190,0.001, Lemon, Sour, Citrus, Woody, Earthy, Calming, Relaxed, Strong, Photoperiod, 9-10 weeks
Super Silver Bilbo,sativa,0.120,0.001, Mango, Citrus, Skunk, Fruity, Energetic, Uplifting,,, Photoperiod, 11-13 weeks
Super Silver Haze,indica,0.200,0.030, Earthy, Pine, Pepper,, Relaxed, Sleepy, Calming,, Photoperiod, 7-8 weeks
Super Silver Haze Autoflowering,indica,0.060,0.080, Sweet, Earthy,,, Relaxed, Tingly, Calming,, Photoperiod, 8-9 weeks
Super Silver Haze CBD,hybrid,0.220,0.001, Diesel, Spicy, Lemon, Sweet, Relaxed, Happy, Cerebral, Creative, Photoperiod, 7-9 weeks
Super Silver Sour Diesel Haze,hybrid,0.120,0.001, Skunk, Earthy, Pine, Happy, Body-buzz, Relaxed,,, Photoperiod, 8-10 weeks
Super Skunk,hybrid,0.180,0.001, Sweet, Caramel, Fruity, Hashish, Energetic, Balanced, Body-buzz,, Photoperiod, 8-9 weeks
Super Skunk Autoflowering,indica,0.180,0.001, Citrus, Sweet, Fruity,, Relaxed, Euphoric, Calming,, Photoperiod, 8-9 weeks
Super Sour Skunk,indica,0.220,0.004, Earthy, Spicy, Coffee, Woody, Body-buzz, Relaxed, Happy, Narcotic, Photoperiod, 9-10 weeks
Supercheese,indica,0.120,0.001, Melon, Citrus, Orange, Hashish,, Sociable, Euphoric, Talkative, Photoperiod, 9-11 weeks
Superglue,sativa,0.090,0.090, Lemon, Citrus, Flowery,, Motivated, Uplifting, Energetic,, Photoperiod, 10 weeks
Supreme CBD Durban,indica,0.120,0.001, Earthy, Fresh, Flowery,, Relaxed, Long-lasting, Body-buzz,, Photoperiod, 8-9 weeks
Supreme CBD Kush,sativa,0.120,0.001, Flowery, Sweet, Fresh,, Long-lasting, Talkative, Cerebral, Energetic, Photoperiod, 10-11 weeks
Swazi Gold,indica,0.180,0.030, Skunk, Earthy,,, Calming, Narcotic, Couch-lock, Relaxed, Photoperiod, 8-10 weeks
Sweet 'N Sour Indoor,indica,0.070,0.220, Herbal, Sweet,,, Relaxed, Narcotic, Sleepy,, Autoflowering, 9 weeks
Sweet Amnesia Haze,sativa,0.210,0.030, Sweet, Citrus, Pine,, Creative, Relaxed, Energetic, Uplifting, Photoperiod, 9-10 weeks
Sweet Black Angel,sativa,0.200,0.001, Tropical, Pineapple, Grape, Fruity, Uplifting, Creative, Happy, Euphoric, Photoperiod, 8-9 weeks
Sweet Bubble,indica,0.120,0.001, Sweet, Blueberry, Fruity,, Balanced, Relaxed, Body-buzz, Calming, Photoperiod, 8 weeks
Sweet Candy,sativa,0.120,0.001, Sour, Earthy, Diesel,, Creative, Sociable, Giggly,, Photoperiod, 9 weeks
Sweet Candy Autoflowering,sativa,0.010,0.070, Spicy, Pine, Fresh, Earthy, Calming, Relaxed,,, Autoflowering, 10 weeks
Sweet Cheese,indica,0.120,0.001, Pine, Sweet, Berry,, Relaxed, Energetic, Body-buzz, Euphoric, Photoperiod, 7 weeks
Sweet Cheese Autoflowering,indica,0.080,0.110, Sweet, Fruity, Tropical,, Relaxed, Calming,,, Autoflowering, 9 weeks
Sweet Cheese XL Autoflowering,indica,0.120,0.001, Skunk, Sweet, Earthy, Citrus,, Euphoric, Uplifting, Energetic, Photoperiod, 7-8 weeks
Sweet Coffee Ryder,hybrid,0.120,0.001, Sweet, Lemon, Citrus,, Cerebral, Relaxed, Happy, Calming, Photoperiod, 8 weeks
Sweet Deep Grapefruit,indica,0.140,0.001, Pungent, Cheese, Skunk, Sweet, Sociable, Happy, Relaxed,, Autoflowering, 9 weeks
Sweet Gelato Autoflowering,hybrid,0.150,0.001, Sweet, Skunk,,, Cerebral, Relaxed,,, Photoperiod, 8-9 weeks
Sweet Kush,hybrid,0.120,0.110, Flowery, Fruity, Sweet, Pine, Relaxed, Cerebral, Calming, Mellow, Photoperiod, 8-9 weeks
Sweet Love,indica,0.120,0.001, Sweet, Citrus, Spicy,, Sociable, Happy, Relaxed,, Photoperiod, 7 weeks
Sweet Mango Autoflowering,hybrid,0.120,0.001, Citrus, Spicy, Skunk,, Relaxed, Sociable, Talkative, Uplifting, Photoperiod, 8 weeks
Sweet Moby,indica,0.220,0.009, Sour, Earthy, Fruity, Chemical, Relaxed, Body-buzz, Calming, Meditative, Photoperiod, 8 weeks
Sweet Nurse Auto CBD,indica,0.120,0.001, Sweet, Cheese, Skunk,, Calming, Couch-lock, Relaxed,, Photoperiod, 7-9 weeks
Sweet Pink Grapefruit,indica,0.120,0.001, Cheese, Pungent, Smooth,, Relaxed, Calming,,, Photoperiod, 8-9 weeks
Sweet Pure Auto CBD,sativa,0.220,0.001, Musky, Pine, Woody, Herbal, Energetic, Uplifting, Euphoric, Cerebral, Photoperiod, 9-10 weeks
Sweet Pure CBD,sativa,0.060,0.070, Fruity, Hashish, Lemon, Smooth, Clear-headed, Sociable, Cerebral,, Photoperiod, 9 weeks
Sweet Purple,sativa,0.140,0.005, Sweet, Flowery, Earthy,, Focused, Creative, Clear-headed, Energetic, Autoflowering, 10-11 weeks
Sweet Skunk Autoflowering,hybrid,0.220,0.001, Earthy, Hashish, Grape,, Balanced, Relaxed, Body-buzz, Cerebral, Photoperiod, 8-9 weeks
Sweet Special Autoflowering,indica,0.120,0.001, Earthy, Herbal, Spicy,, Sleepy, Happy, Relaxed, Body-buzz, Photoperiod, 7-9 weeks
Sweet Tai,hybrid,0.240,0.010, Sweet, Grape, Mint, Fresh, Cerebral, Balanced, Uplifting, Relaxed, Photoperiod, 8-10 weeks
Sweet Tooth,indica,0.180,0.220, Spicy, Herbal,,, Strong, Couch-lock, Calming, Relaxed, Photoperiod, 6-8 weeks
Sweet Tooth Autoflowering,indica,0.150,0.008, Fruity, Mint,,, Talkative, Relaxed, Happy, Calming, Autoflowering, 9-10 weeks
Sweet Trainwreck Autoflowering,hybrid,0.150,0.030, Earthy, Citrus,,, Sociable, Couch-lock, Happy, Euphoric, Autoflowering, 9-10 weeks
Sweet ZZ,hybrid,0.220,0.001, Pungent, Sweet, Fruity,, Uplifting, Relaxed, Talkative, Energetic, Photoperiod, 9 weeks
Swiss Cheese,hybrid,0.120,0.001, Spicy, Fruity,,, Relaxed, Body-buzz, Energetic, Uplifting, Photoperiod, 8-9 weeks
Swiss Dream Auto CBD,indica,0.120,0.001, Skunk, Citrus,,, Relaxed, Cerebral,,, Autoflowering, 11-12 weeks
Swiss Dream CBD,indica,0.190,0.009, Sweet, Fresh, Grape, Fruity, Relaxed, Body-buzz, Calming,, Photoperiod, 8 weeks
Syrup,indica,0.120,0.001, Pepper, Pine, Earthy, Spicy,, Relaxed, Giggly, Strong, Photoperiod, 7-8 weeks
T99,indica,0.120,0.030, Pine, Lavender, Earthy, Spicy, Strong, Calming, Narcotic, Relaxed, Photoperiod, 8-9 weeks
THC Bomb,sativa,0.120,0.001, Citrus, Lemon, Herbal,, Talkative, Uplifting, Energetic, Sociable, Autoflowering, 13-14 weeks
THC Bomb Autoflowering,sativa,0.120,0.001, Spicy, Tropical, Fruity,, Uplifting, Meditative, Euphoric, Cerebral, Photoperiod, 13 weeks
THC Bunker Buster,indica,0.220,0.001, Citrus, Sour, Diesel,, Relaxed, Uplifting, Happy,, Photoperiod, 9 weeks
TNT Kush,indica,0.120,0.001, Herbal, Sweet, Caramel,, Relaxed, Strong, Happy,, Autoflowering, 8-9 weeks
TNT Kush CBD,indica,0.150,0.005, Sweet, Earthy, Sour, Spicy, Tingly, Relaxed, Happy, Cerebral, Photoperiod, 9 weeks
Tahoe OG Kush,sativa,0.120,0.001, Sweet, Fruity, Fresh,, Energetic, Cerebral, Uplifting,, Photoperiod, 10-12 weeks
Taiga 2,hybrid,0.120,0.001, Citrus, Skunk,,, Creative, Calming, Sociable, Cerebral, Photoperiod, 7-9 weeks
Taison Autoflowering,indica,0.120,0.001, Citrus, Herbal, Earthy,, Relaxed, Happy, Calming,, Photoperiod, 8 weeks
Tangerine Dream,hybrid,0.200,0.001, Sweet, Woody, Skunk, Fruity, Body-buzz, Relaxed, Sociable, Calming, Photoperiod, 8-9 weeks
Tangerine Dream Autoflowering,indica,0.190,0.010, Sweet, Hashish, Fruity, Smooth, Relaxed, Body-buzz, Calming,, Photoperiod, 8 weeks
Tangerine G13,sativa,0.010,0.110, Citrus, Lemon, Smooth,, Calming, Relaxed,,, Photoperiod, 9 weeks
Tangie,indica,0.210,0.001, Fresh, Pine, Citrus,, Uplifting, Happy, Euphoric, Relaxed, Autoflowering, 8-9 weeks
Tangie Ghost Train,indica,0.220,0.001, Pine, Pungent, Kushy, Spicy, Body-buzz, Relaxed, Calming, Happy, Photoperiod, 9-11 weeks
Tangie'matic,sativa,0.200,0.001, Lemon, Citrus, Sweet, Fresh, Energetic, Motivated, Euphoric, Creative, Photoperiod, 8-9 weeks
Tangilope,hybrid,0.120,0.001, Pungent, Sweet, Spicy,, Cerebral, Energetic, Uplifting, Relaxed, Photoperiod, 9 weeks
Tank,indica,0.190,0.001, Sour, Fruity, Sweet, Strawberry, Happy, Relaxed, Body-buzz,, Photoperiod, 8 weeks
Tasman Haze,sativa,0.120,0.001, Earthy, Sweet, Strong,, Motivated, Euphoric, Uplifting, Energetic, Photoperiod, 7-10 weeks
Temple Haze,sativa,0.210,0.030, Flowery, Lemon, Spicy,, Trippy, Euphoric, Strong, Cerebral, Photoperiod, 9-10 weeks
Thai,indica,0.170,0.003, Sweet, Peach, Fruity, Mango, Body-buzz, Relaxed, Happy, Calming, Photoperiod, 7-8 weeks
Thai Fantasy,sativa,0.120,0.220, Fruity, Sweet, Mango,, Energetic, Clear-headed, Smooth,, Photoperiod, 10 weeks
The Bulldog Chronic,hybrid,0.210,0.007, Diesel, Citrus, Fruity,, Euphoric, Strong, Trippy, Uplifting, Photoperiod, 9 weeks
The Bulldog Haze,sativa,0.090,0.110, Earthy, Sweet, Citrus,, Uplifting, Cerebral, Sociable,, Autoflowering, 10-12 weeks
The Church,indica,0.180,0.001, Pine, Pungent, Earthy, Sweet, Sociable, Narcotic, Relaxed, Body-buzz, Photoperiod, 7-8 weeks
The Church CBD,sativa,0.220,0.001, Fruity, Sweet,,, Uplifting, Long-lasting, Euphoric, Cerebral, Photoperiod, 13 weeks
The Cure,hybrid,0.190,0.010, Skunk, Spicy, Sweet,, Happy, Relaxed, Cerebral, Strong, Autoflowering, 9 weeks
The Dark Side,sativa,0.120,0.001, Musky, Lemon, Cherry, Diesel, Relaxed, Clear-headed, Cerebral,, Photoperiod, 9-11 weeks
The Doctor,indica,0.120,0.001, Earthy, Nutty, Berry, Spicy, Relaxed, Calming, Sleepy, Narcotic, Photoperiod, 8-9 weeks
The Edge,hybrid,0.120,0.030, Cheese, Skunk, Sweet, Pungent, Cerebral, Relaxed, Sociable, Happy, Photoperiod, 8 weeks
The Kali,indica,0.200,0.008, Sweet, Spicy,,, Happy, Sociable, Body-buzz,, Photoperiod, 8-9 weeks
The OG 18,indica,0.220,0.030, Sweet, Grape, Berry, Fruity, Cerebral, Euphoric, Uplifting, Body-buzz, Photoperiod, 8-9 weeks
The OX,indica,0.180,0.001, Sweet, Coffee, Earthy,, Body-buzz, Psychedelic, Relaxed,, Photoperiod, 8 weeks
The Stones,sativa,0.160,0.001, Citrus, Fruity, Sweet,, Cerebral, Uplifting, Energetic, Happy, Photoperiod, 7-8 weeks
The Third Dimension,sativa,0.180,0.030, Fruity, Sweet, Tropical,, Relaxed, Cerebral, Focused, Alert, Photoperiod, 8 weeks
The Tombs,sativa,0.220,0.001, Citrus, Berry, Sweet,, Uplifting, Relaxed, Sociable, Cerebral, Autoflowering, 11 weeks
The True OG,sativa,0.120,0.001, Sweet, Fruity, Earthy, Candy, Energetic, Cerebral, Euphoric, Clear-headed, Photoperiod, 7-9 weeks
The Ultimate,sativa,0.180,0.001, Spicy, Citrus, Fruity, Sweet, Relaxed, Calming, Alert, Sociable, Autoflowering, 10-11 weeks
The Void,hybrid,0.220,0.001, Licorice, Pungent, Candy, Ammonia, Happy, Cerebral, Euphoric, Strong, Photoperiod, 10 weeks
Thin Mint Girl Scout Cookies,sativa,0.120,0.001, Candy, Spicy, Licorice, Sweet, Relaxed, Euphoric, Creative, Cerebral, Autoflowering, 10-12 weeks
Think Big,hybrid,0.170,0.001, Earthy, Herbal, Skunk,, Relaxed, Sleepy, Calming,, Photoperiod, 8 weeks
Think Different,indica,0.220,0.030, Earthy, Kushy, Lemon,, Relaxed, Happy, Couch-lock, Calming, Photoperiod, 7-8 weeks
Think Fast,sativa,0.090,0.220, Skunk, Fruity,,, Euphoric, Uplifting, Cerebral,, Photoperiod, 8 weeks
Thunder Bloody Mary Autoflowering,sativa,0.140,0.001, Woody, Pine, Citrus,, Motivated, Cerebral, Energetic, Happy, Autoflowering, 9-10 weeks
Tijuana,hybrid,0.170,0.110, Sour, Berry, Spicy, Pungent, Couch-lock, Calming, Relaxed, Cerebral, Photoperiod, 8 weeks
Tikal,indica,0.220,0.001, Sweet, Fresh, Earthy,, Sedative, Body-buzz, Dreamy, Long-lasting, Photoperiod, 8-9 weeks
Timanfaya Autoflowering,indica,0.120,0.001, Skunk, Pungent, Cheese, Smooth, Body-buzz, Relaxed, Happy, Calming, Autoflowering, 9 weeks
Timewarp,hybrid,0.120,0.001, Woody, Pepper,,, Cerebral, Energetic, Focused, Creative,,
Top 44,indica,0.180,0.001, Nutty, Fresh, Skunk, Lemon, Body-buzz, Couch-lock, Narcotic, Relaxed, Photoperiod, 6-7 weeks
Top Dawg,indica,0.080,0.140, Lemon, Fresh, Fuel, Earthy, Relaxed, Body-buzz, Clear-headed, Sociable, Autoflowering, 10-12 weeks
Tora Bora,indica,0.210,0.001, Sweet, Spicy,,, Giggly, Narcotic, Relaxed, Strong, Photoperiod, 7-8 weeks
Torpedo,indica,0.190,0.001, Spicy, Sweet, Fruity,, Cerebral, Creative, Uplifting, Relaxed, Photoperiod, 8-9 weeks
Toxic,sativa,0.200,0.001, Diesel, Berry, Strawberry, Citrus, Motivated, Cerebral, Uplifting, Energetic, Photoperiod, 8-9 weeks
Toxic Blue 33,indica,0.120,0.001, Skunk, Cheese, Sweet,, Strong, Calming, Relaxed,, Autoflowering, 10 weeks
Train Wreck,sativa,0.120,0.001, Citrus, Fruity, Skunk, Lemon, Cerebral, Energetic, Uplifting, Motivated, Photoperiod, 10 weeks
Trans Love,hybrid,0.200,0.001, Berry, Fruity, Skunk,, Talkative, Happy, Relaxed, Body-buzz, Photoperiod, 8-9 weeks
Trans Siberian,sativa,0.220,0.001, Spicy, Citrus,,, Happy, Creative, Motivated, Energetic, Photoperiod, 10-13 weeks
Transkei,hybrid,0.120,0.001, Sour, Fruity, Sweet, Earthy, Uplifting, Calming, Happy, Relaxed, Autoflowering, 10-11 weeks
Triangle Kush Cookies,hybrid,0.060,0.120, Flowery, Cheese, Sweet,, Relaxed, Happy, Calming, Sociable, Autoflowering, 10-11 weeks
Triple Cheese,hybrid,0.120,0.001, Earthy, Apricot, Orange, Smooth, Dreamy, Relaxed, Calming,, Photoperiod, 9-10 weeks
Tropimango,indica,0.120,0.001, Flowery, Lavender,,, Relaxed, Happy, Euphoric,, Photoperiod, 7-9 weeks
True Blueberry,sativa,0.220,0.030, Lemon, Fresh, Citrus,, Strong, Relaxed, Uplifting, Cerebral, Autoflowering, 11-12 weeks
Trueberry,indica,0.220,0.001, Flowery, Sweet, Spicy,, Calming, Long-lasting, Relaxed, Body-buzz, Photoperiod, 8-9 weeks
Tundra 2,hybrid,0.170,0.001, Citrus, Fruity,,, Calming, Clear-headed, Relaxed, Body-buzz, Autoflowering, 9-10 weeks
Turing Autoflowering,sativa,0.120,0.001, Skunk, Citrus, Fruity, Tropical, Uplifting, Motivated, Energetic,, Autoflowering, 8-9 weeks
Tutankhamon,sativa,0.180,0.030, Citrus, Skunk, Cheese, Pine, Energetic, Euphoric, Creative, Cerebral, Photoperiod, 10-12 weeks
Twilight,hybrid,0.090,0.090, Earthy, Citrus, Pine,, Uplifting, Relaxed, Happy, Calming, Photoperiod, 10-12 weeks
Txaki,indica,0.120,0.001, Citrus, Lemon, Pineapple,, Cerebral, Relaxed, Uplifting, Calming, Photoperiod, 8-9 weeks
Txees Bilbo,sativa,0.190,0.001, Herbal, Lemon, Citrus,, Strong, Relaxed, Uplifting, Cerebral, Autoflowering, 9-10 weeks
Txomango,indica,0.230,0.030, Pungent, Sweet, Earthy,, Happy, Cerebral, Sociable, Euphoric, Photoperiod, 8-9 weeks
U2,hybrid,0.170,0.001, Pine, Fruity, Sweet, Spicy, Balanced, Relaxed, Body-buzz, Cerebral, Photoperiod, 7-9 weeks
UK Cheese Autoflowering,indica,0.120,0.030, Sour, Diesel, Earthy,, Happy, Relaxed, Uplifting,, Photoperiod, 9-10 weeks
Ultra Lemon Haze,indica,0.220,0.001, Pine, Fresh, Mint,, Relaxed, Strong, Euphoric,, Photoperiod, 7-8 weeks
Ultra Skunk,indica,0.240,0.001, Mint, Chocolate, Pine, Fresh, Cerebral, Talkative, Relaxed, Body-buzz, Photoperiod, 8-9 weeks
Ultra Sour Kush,indica,0.170,0.030, Herbal, Hashish, Spicy,, Body-buzz, Relaxed, Happy, Calming, Photoperiod, 7-8 weeks
Ultra White Amnesia,indica,0.220,0.001, Pine, Fresh, Earthy, Woody, Strong, Long-lasting, Creative, Body-buzz, Photoperiod, 7-9 weeks
Ultraviolet Autoflowering,hybrid,0.190,0.008, Hashish, Fruity, Berry,, Body-buzz, Energetic, Uplifting, Balanced, Autoflowering, 9-11 weeks
UnderDawg Kush,indica,0.120,0.001, Pungent, Sweet, Skunk,, Euphoric, Motivated, Happy, Clear-headed, Autoflowering, 9 weeks
Unknown Kush,indica,0.160,0.010, Sweet, Skunk, Berry,, Anxious, Happy, Relaxed, Euphoric, Photoperiod, 9-10 weeks
Utopia Haze,sativa,0.200,0.110, Citrus, Sweet, Berry,, Uplifting, Relaxed, Cerebral, Strong, Photoperiod, 9-11 weeks
VIP Autoflowering,hybrid,0.120,0.001, Sweet, Hashish, Banana, Earthy, Relaxed, Cerebral, Balanced, Euphoric, Photoperiod, 8-9 weeks
Vanilla Haze,indica,0.180,0.010, Caramel, Sweet,,, Strong, Happy, Relaxed, Euphoric, Photoperiod, 8-9 weeks
Vanilla ICE,sativa,0.120,0.001, Sweet, Pepper, Earthy, Spicy, Strong, Narcotic, Cerebral,, Photoperiod, 8-9 weeks
Vanilla Ice Autoflowering,indica,0.120,0.001, Orange, Pungent, Chocolate, Skunk, Body-buzz, Giggly, Cerebral, Happy, Autoflowering, 12-14 weeks
Vanilla Kush,indica,0.120,0.001, Pungent, Fruity, Berry, Skunk, Happy, Body-buzz, Relaxed, Munchies, Autoflowering, 11-13 weeks
Vanilluna,indica,0.140,0.001, Spicy, Sour, Sweet,, Calming, Creative, Relaxed,, Autoflowering, 8-9 weeks
Veneno,hybrid,0.200,0.007, Sweet, Pine, Tropical, Spicy, Calming, Relaxed, Energetic, Body-buzz, Photoperiod, 9 weeks
Vertigo,sativa,0.120,0.030, Spicy, Earthy, Sweet, Musky, Energetic, Alert, Uplifting, Cerebral, Photoperiod, 9-10 weeks
Viagrra,hybrid,0.120,0.001, Pungent, Sweet, Fruity, Mellow, Happy, Body-buzz, Cerebral, Relaxed, Photoperiod, 8-9 weeks
Violator Kush,hybrid,0.220,0.001, Sweet, Citrus, Skunk,, Cerebral, Relaxed, Calming,, Photoperiod, 7-9 weeks
Violeta,indica,0.120,0.001, Fruity, Sweet,,, Body-buzz, Calming, Relaxed,, Autoflowering, 10 weeks
Viper,indica,0.120,0.001, Fruity, Tropical, Mango, Sweet, Happy, Body-buzz, Relaxed, Calming, Autoflowering, 11 weeks
Vision Jack Autoflowering,sativa,0.120,0.001, Fresh, Pine, Berry,, Relaxed, Sociable, Happy, Cerebral, Autoflowering, 13-14 weeks
Vision Kush Autoflowering,indica,0.160,0.001, Fresh, Skunk, Fruity, Sweet, Clear-headed, Body-buzz, Relaxed,, Autoflowering, 10 weeks
Vortex,sativa,0.120,0.001, Skunk, Pungent, Fresh,, Cerebral, Euphoric, Talkative, Balanced, Photoperiod, 8-10 weeks
Wacky Widow,hybrid,0.120,0.001, Sweet, Pineapple, Musky, Pungent, Relaxed, Tingly, Happy,, Photoperiod, 9 weeks
Walkabout,sativa,0.220,0.001, Pepper, Cherry, Lemon, Vanilla, Sociable, Long-lasting, Energetic, Munchies, Photoperiod, 10-11 weeks
Wappa,indica,0.140,0.002, Sweet, Fruity,,, Relaxed, Sociable, Calming,, Photoperiod, 7-8 weeks
Warlock,indica,0.130,0.001, Earthy, Spicy, Fresh, Herbal, Relaxed, Body-buzz, Smooth, Happy, Autoflowering, 8-9 weeks
Washing Machine,sativa,0.120,0.001, Sweet, Chocolate,,, Euphoric, Cerebral, Uplifting,, Photoperiod, 8-9 weeks
Wedding Cake,sativa,0.180,0.001, Woody, Earthy, Citrus,, Happy, Attentive, Energetic,, Autoflowering, 10 weeks
Wedding Gelato,sativa,0.200,0.003, Fruity, Earthy,,, Uplifting, Creative, Motivated, Cerebral,,
Wembley,hybrid,0.220,0.001, Citrus, Fruity, Pungent,, Uplifting, Relaxed, Energetic,, Photoperiod, 8-10 weeks
West Coast OG,sativa,0.120,0.001, Diesel, Sour,,, Focused, Cerebral, Relaxed, Uplifting, Photoperiod, 10 weeks
Western Winds,indica,0.120,0.001, Sweet, Flowery, Chemical,, Narcotic, Trippy, Calming, Relaxed, Photoperiod, 8-9 weeks
Where's My Bike,indica,0.220,0.001, Musky, Blueberry, Citrus,, Creative, Euphoric, Giggly,, Photoperiod, 8 weeks
Whitaker Blues,hybrid,0.210,0.001, Pungent, Earthy, Spicy, Pine, Uplifting, Creative, Body-buzz, Relaxed, Photoperiod, 9 weeks
White Alien,hybrid,0.190,0.030, Sour, Pungent, Diesel, Skunk, Body-buzz, Creative, Cerebral, Balanced, Photoperiod, 9-10 weeks
White Berry,sativa,0.220,0.030, Spicy, Lemon, Pine, Woody, Euphoric, Cerebral, Uplifting, Long-lasting, Photoperiod, 10-12 weeks
White Cheese Autoflowering,sativa,0.170,0.001, Pepper, Strawberry, Spicy, Candy, Body-buzz, Euphoric, Relaxed,, Photoperiod, 8 weeks
White Choco,indica,0.220,0.001, Earthy, Licorice, Sweet,, Relaxed, Strong, Body-buzz,, Photoperiod, 9 weeks
White Choco Haze,indica,0.200,0.001, Sweet, Fresh, Mint,, Strong, Narcotic, Cerebral, Body-buzz, Photoperiod, 8-9 weeks
White Critical Express,indica,0.200,0.001, Fruity, Berry, Pine, Earthy, Munchies, Cerebral, Relaxed, Couch-lock, Photoperiod, 7-8 weeks
White Diesel,sativa,0.220,0.030, Spicy, Pungent,,, Motivated, Focused, Uplifting, Energetic, Photoperiod, 9-10 weeks
White Diesel Haze Autoflowering,indica,0.120,0.001, Hashish, Sandalwood, Earthy, Smooth, Body-buzz, Relaxed, Narcotic, Calming, Autoflowering, 10 weeks
White Domina,indica,0.120,0.030, Citrus, Pungent, Earthy, Flowery, Creative, Calming, Relaxed, Cerebral, Autoflowering, 11-12 weeks
White Gold,indica,0.090,0.090, Fresh, Sour, Sweet, Smooth, Meditative, Body-buzz,,, Autoflowering, 9-10 weeks
White ICE,indica,0.060,0.070, Sweet, Sour,,, Calming, Relaxed,,, Photoperiod, 8 weeks
White Kush,indica,0.200,0.008, Pungent, Diesel, Spicy, Earthy, Happy, Body-buzz, Narcotic, Couch-lock, Autoflowering, 9-12 weeks
White Lemon,sativa,0.120,0.001, Sweet, Citrus, Sour, Fresh, Long-lasting, Energetic, Cerebral, Euphoric, Photoperiod, 9-12 weeks
White OG,sativa,0.120,0.001, Diesel, Sour, Fruity, Lime, Happy, Sociable, Creative, Uplifting, Autoflowering, 10-11 weeks
White Panther,hybrid,0.180,0.001, Fruity, Berry, Sweet,, Relaxed, Strong, Happy, Cerebral, Autoflowering, 10 weeks
White Rhino,hybrid,0.120,0.001, Candy, Cherry,,, Cerebral, Happy, Creative,, Photoperiod, 9-10 weeks
White Russian,indica,0.120,0.110, Nutty, Earthy, Fruity, Sweet, Relaxed, Body-buzz, Calming,, Autoflowering, 9-10 weeks
White Siberian,indica,0.120,0.001, Creamy, Musky, Sweet,, Relaxed, Creative, Happy, Body-buzz, Photoperiod, 9 weeks
White Skunk,hybrid,0.120,0.001, Pungent, Cheese, Skunk,, Balanced, Euphoric, Body-buzz, Relaxed, Photoperiod, 8-9 weeks
White Skunk Autoflowering,sativa,0.220,0.001, Sweet, Lemon, Sour,, Cerebral, Energetic, Strong,, Photoperiod, 8 weeks
White Spanish,indica,0.090,0.001, Pungent, Woody, Earthy, Skunk, Happy, Euphoric, Cerebral, Relaxed, Autoflowering, 10-11 weeks
White Strawberry Skunk,sativa,0.190,0.110, Chocolate, Sweet, Caramel,, Euphoric, Cerebral, Long-lasting, Energetic, Photoperiod, 9 weeks
White Walker Kush,indica,0.120,0.001, Skunk, Sweet, Pungent, Musky, Calming, Body-buzz, Relaxed, Lazy, Photoperiod, 9-10 weeks
White Widow,indica,0.200,0.030, Sweet, Earthy, Berry,, Strong, Couch-lock, Happy, Relaxed, Photoperiod, 8-9 weeks
White Widow Autoflowering,hybrid,0.120,0.001, Sweet, Fruity, Fresh, Cherry, Clear-headed, Relaxed, Smooth, Motivated, Photoperiod, 8 weeks
White Widow Autoflowering CBD,sativa,0.120,0.001, Chocolate, Citrus, Lemon,, Uplifting, Energetic, Trippy, Cerebral, Photoperiod, 9 weeks
White Widow Haze,hybrid,0.120,0.001, Skunk, Citrus, Spicy, Nutty, Relaxed, Calming,,, Photoperiod, 8-9 weeks
White Widow XL,indica,0.180,0.001, Fruity, Berry, Musky, Cheese, Sociable, Happy, Talkative, Relaxed, Photoperiod, 8-9 weeks
White Widow XXL Autoflowering,sativa,0.180,0.001, Tropical, Citrus, Berry, Pine, Uplifting, Relaxed, Happy, Cerebral, Photoperiod, 8 weeks
White Widow x Big Bud,indica,0.140,0.110, Fruity, Berry, Sweet,, Relaxed,,,, Autoflowering, 8-9 weeks
White Widow x Critical,indica,0.100,0.100, Citrus, Woody, Spicy, Fruity, Long-lasting, Relaxed, Happy, Calming, Photoperiod, 8-9 weeks
White Willow,sativa,0.190,0.002, Fruity, Lemon, Fresh,, Uplifting, Energetic, Balanced, Euphoric, Photoperiod, 10 weeks
White Yoda Autoflowering,hybrid,0.180,0.001, Citrus, Pine, Flowery, Woody, Cerebral, Relaxed,,, Photoperiod, 9-10 weeks
Widow Bomb,indica,0.120,0.001, Diesel, Lemon, Herbal,, Relaxed, Happy, Couch-lock, Euphoric, Photoperiod, 8-10 weeks
